name,type_1,type_2,caption
jumpluff,grass,flying,"a blue and purple creature with a green face and a large, white, fluffy ball on its head."
spoink,psychic,,"a small, gray, and pink creature with a round, white, and pink ball on its head."
meowstic-male,psychic,,"a blue and white striped creature with a long tail, standing on a black background."
wormadam-trash,bug,steel,"a black and white bird with a pink and white fluffy head, wearing a pink scarf."
cinderace-gmax,fire,,"a fire-type creature with a large, fiery body and wings. It is riding on top of a red and yellow fireball, which is a characteristic feature of the fire-type Pokemon."
sizzlipede,fire,bug,"a red and black creature with a long tail, resembling a snake."
audino,normal,,"a small, pink creature with a white tail and a white face. It has a cute and adorable appearance, making it a popular choice among fans of the franchise."
dartrix,grass,flying,"a small, green owl-like creature with a white face and a green tail. It has a green and white body and is wearing a green bow tie."
mismagius,ghost,,"a purple, ghost-like creature with a black hat, a purple robe, and a long tail. It has a spooky appearance and is likely a popular character in the Pokemon universe."
grafaiai,poison,normal,"a small, black and white creature with a long tail, large eyes, and a pink tongue. It has a unique appearance and is holding a pink toy in its mouth."
machamp,fighting,,"a large, muscular, and strong-looking creature with a gray body, a yellow beak, and a blue head. It has a yellow belt around its waist, and it is holding a yellow and blue ball in its hand."
crustle,bug,rock,"a large, red and black creature with a long, spiky tail. It resembles a crab or a lobster, and it is standing on a rock or a stone."
shedinja,bug,ghost,"a large, golden, and shiny creature with a long tail and a horn-like structure on its head. It has a unique and eye-catching appearance."
fraxure,dragon,,"a green, horned creature with a red face and a long tongue. It has a unique and somewhat menacing appearance, which is typical of the species."
bellossom,grass,,"a small, green creature with a red flower on its head, resembling a sunflower."
beedrill-mega,bug,poison,"a large, horned creature with a yellow and black body, resembling a bee or a hornet."
ninjask,bug,flying,"a small, yellow and black creature with wings, resembling a butterfly."
zigzagoon-galar,dark,normal,"a large, black and white striped creature with a white tongue, resembling a bear or a dog. It has a big, wide smile on its face, which adds to its cute and friendly appearance."
kingdra,water,dragon,"a blue and white creature with a long, flowing tail, resembling a mermaid or a sea creature."
dudunsparce,normal,,"a yellow and blue creature with a long, striped tail, resembling a caterpillar."
azurill,normal,fairy,"a blue, small, and cute creature with a round body and a long tail. It has a face with two eyes and a nose, giving it a friendly and endearing appearance."
ekans,poison,,"a purple and gold snake-like creature with a long tail, which is a rare and unique appearance."
sawk,fighting,,"a blue and black creature, resembling a humanoid figure with a black robe. It has a long, pointed tail and is wearing a black belt."
lechonk,normal,,"a large, brown, and black pig-like creature with a large nose and a yellow face. It has a unique appearance and is likely to be a popular character in the Pokemon universe."
sylveon,fairy,,"a white and pink rabbit-like creature with a blue tail, which is a Pikachu."
omanyte,rock,water,"a large, blue, and white creature with a long, snail-like body and a horn-like structure on its head. It has a unique and somewhat comical appearance."
articuno,ice,flying,"a blue and white bird-like creature with a long tail, resembling a peacock."
comfey,fairy,,"a small, green creature with a flower-like appearance, resembling a plant or a flower."
regice,ice,,"a large, icy, and crystal-like creature with a sword for a tail. It has a blue and white color scheme and appears to be a unique and interesting design."
landorus-therian,ground,flying,"a large, orange and black creature with a horn-like structure on its head. It has a unique and fierce appearance, resembling a lion or a bear."
corsola,water,rock,"a pink, heart-shaped creature with a small wing on its back."
hatterene,psychic,fairy,a ghost-type character with a white body and a pink tail.
golbat,poison,flying,"a blue and purple creature with a large mouth and wings, resembling a bat."
flygon,ground,dragon,"a green and pink dragon-like creature with a long tail, large wings, and a flower on its head."
venipede,bug,poison,"a large, red, and black creature with a long, scaly body and two eyes. It has a distinct appearance, resembling a giant insect or a lizard-like creature."
sliggoo,dragon,,"a ghost-type creature with a white body, green eyes, and a purple tail."
watchog,normal,,"a brown, horned creature with a long tail and a white stripe on its back. It has a large, expressive face with a wide-eyed expression, giving it a unique and distinctive appearance."
urshifu-rapid-strike-gmax,fighting,water,"a large, black and white bird with a blue head and yellow beak. It is holding a person in its claws, possibly a trainer, and appears to be in a fighting stance."
primarina,water,fairy,"a white and blue creature with a long tail, resembling a mermaid. It has a star-shaped tail and a small, white head."
feraligatr,water,,"a blue and red dragon-like creature with a long tail, sharp teeth, and a large mouth."
phione,water,,"a blue and white creature with a long tail, resembling a bird."
simipour,water,,"a blue and white creature with a long tail, a large head, and a big smile."
sigilyph,psychic,flying,"a colorful bird-like creature with a large, colorful beak and a long tail."
calyrex,psychic,grass,"a large, green, and blue creature with a long tail and a large, pointy, blue hat. It has a unique and eye-catching appearance."
ditto,normal,,"a purple, fuzzy creature with a smiling face and a large tongue."
gloom,grass,poison,"a blue, furry creature with a large, brown, pointy head, a brown body, and a red hat."
corphish,water,,"a red and white creature with a large, crab-like body and a smiling face."
drilbur,ground,,"a Pikachu, which is a small, brown, and white creature with a black face and a white tail."
groudon,ground,,"a red and black creature with a large, sharp, and pointy tail. It has a fierce appearance and is ready to attack."
tapu-lele,psychic,fairy,"Pikachu, a popular character from the Pokemon franchise. Pikachu is a small, electric-type creature with a pink and black body, a white face, and a red hat."
poipole,poison,,"a small, purple creature with a blue face and a long tail. It is a cute and colorful character, likely appealing to fans of the popular video game franchise."
minior-violet,rock,flying,"a purple, white, and black creature with a large, pointy horn on its head. It has a round body and two small horns on its back."
pidgey,normal,flying,"a small, brown bird with a yellow beak and a white face. It has a distinctive hairstyle, resembling a mohawk."
yveltal,dark,flying,"a large, red, and black creature with long claws and a long tail. It has a fierce appearance, resembling a dragon or a monster."
hitmonchan,fighting,,"a Pikachu, which is a small, yellow, and brown creature with a white shirt."
armarouge,fire,psychic,"a large, muscular, and armored creature with a yellow and red color scheme. It has a yellow head and red legs, and it appears to be a robot-like creature."
vulpix-alola,ice,,"a white, fluffy, and fluffy-haired creature with a blue face, blue eyes, and a white tail. It has a cloud-like appearance, giving it a unique and adorable appearance."
cubchoo,ice,,"a blue teddy bear-like creature with a white face and a white nose. It has a sad expression and is holding its head in its hands, appearing to be crying."
applin,grass,dragon,"a small, cute creature with a red and green body, resembling a small apple. It has a leafy appendage on its head, giving it a unique and adorable appearance."
araquanid,water,bug,"a blue creature with a white face, resembling a frog. It has a body covered in a clear, round, and possibly frosted material, giving it a unique appearance."
fuecoco,fire,,"a large, orange, and white creature with a big, toothy mouth. It has a long tail and is wearing a red and white outfit."
spinda,normal,,"The Pokemon in the image has a white and pink color scheme, with a black and white face, and is wearing a pink and white outfit. It is standing on a white background."
gurdurr,fighting,,"a large, muscular creature with a pink and black body, a red shirt, and a long tail. It has a pink nose and is holding a red and black barbell or weightlifting bar in its hands."
minior-indigo,rock,flying,"a blue, white, and black creature with a horn-like structure on its head, resembling a horned creature."
bidoof,normal,,"a brown, furry creature with a big, white, toothy grin. It has a long tongue and is wearing a brown hat."
dusknoir,ghost,,"a large, black and yellow creature with a horn-like structure on its head."
eevee,normal,,"a large, furry creature with a shaggy, fluffy tail and a long, bushy beard. It has a brown and white color scheme, and its eyes are black."
roaring-moon,dragon,dark,"a blue and red bird-like creature with a large, colorful tail. It has a white face and blue wings, giving it a unique and vibrant appearance."
toxtricity-low-key,electric,poison,"a purple creature with a long, spiky tail and a white face. It has a unique and distinctive appearance, making it stand out among other Pokemon."
basculin-white-striped,water,,a green and blue fish-like creature with a large mouth and sharp teeth.
flapple,grass,dragon,"a small, green creature with a red head and wings. It is a cute and adorable creature, possibly resembling a fairy or a dragon."
virizion,grass,fighting,"a green, horned creature with a pink tail. It is a grass-type Pokemon."
litten,fire,,a black and red cat-like creature with a long tail and a red nose.
charizard-mega-y,fire,flying,"a large, red, and orange creature with a long tail and a fire-like tail. It has a flame-like tail, which is a unique feature of this particular Pokemon."
rufflet,normal,flying,"a blue and white bird with a long, shaggy, and fluffy appearance. It has a red beak and yellow eyes, giving it a distinct and cute look."
pidove,normal,flying,"a small, gray, and white bird-like creature with a yellow beak and red eyes."
genesect,bug,steel,"a purple and blue creature with a long, spiky tail and a large, sharp-looking horn on its head. It is a unique and interesting-looking creature."
lapras,water,ice,"a blue turtle-like creature with a shell, which is a part of its body."
eelektross,electric,,"a large, blue creature with a long, snake-like body and a yellow face. It has a red eye and a blue tongue, which adds to its distinct appearance."
sharpedo-mega,water,dark,"a large, blue and yellow shark-like creature with a long, sharp fin."
stonjourner,rock,,"a rock-type creature, resembling a stone or stone-like creature. It has a large body and a small head, and it is standing on two large rocks."
brute-bonnet,grass,dark,"Pikachu, a popular and iconic character from the Pokemon franchise. Pikachu is a small, electric-type creature with a brown and red body, a white face, and a red and white tail."
dubwool,normal,,"a large, white, and black sheep-like creature with horns and a long tail. It has a unique and distinctive appearance, making it easily recognizable as a sheep-like Pokemon."
joltik,bug,electric,"a yellow and blue creature with a large, fuzzy body and a long, spiky tail. It has a distinctive appearance, resembling a spider or a large insect."
zoroark,dark,,"a large, red, and black creature with a long tail and a horn-like feature on its head. It has a fierce appearance and is ready to attack."
rockruff-own-tempo,rock,,"a small, white dog-like creature with a brown nose and a black tail. It has a unique appearance, resembling a combination of a dog and a cat."
braviary-hisui,psychic,flying,"a large, white bird with a purple face, resembling an eagle."
shuppet,ghost,,"a ghost-like creature with a blue face and yellow eyes, resembling a goblin or a demon."
zygarde-50-power-construct,dragon,ground,"The Pokemon in the image has a green body with white spots, resembling a ghostly appearance."
medicham,fighting,psychic,"a small, pink creature with a round body, a long tail, and a pointy hat. It has a red face and is wearing a white hat."
uxie,psychic,,"a Pikachu, which is a yellow and black creature with a horn-like head."
pineco,bug,,"a blue and green creature with a horn-like structure on its head, resembling a mushroom."
corviknight-gmax,flying,steel,"a large, black bird with a red head and wings. It has a long tail and is standing on a red background."
zekrom,dragon,electric,"a large, dark-colored creature with a long tail and wings. It has a unique and imposing appearance, resembling a dragon or a robot."
minior-orange-meteor,rock,flying,"a small, brown, and red creature with sharp, pointed horns on its head."
oddish,grass,poison,"a blue, leafy creature with a smiling face, resembling a plant or a mushroom."
minior-yellow,rock,flying,"a yellow, small, and cute creature with a star-shaped face and two horns."
lucario-mega,fighting,steel,"a large, blue, and yellow creature with a long tail and a long, flowing mane. It has a unique and distinctive appearance, making it stand out among other Pokemon."
spewpa,bug,,"a white, ghost-like creature with a black face and white fur. It has a black and white body, and it appears to be wearing a black hat."
electivire,electric,,"a large, furry creature with a yellow body, black stripes, and a black face. It has a long, bushy tail and is wearing a yellow and black striped outfit."
pelipper,water,flying,"a large, white bird with blue wings and a yellow beak. It has a round face and a big, bulging eyes."
iron-bundle,ice,water,"a red and white creature with a white beard, wearing a hat, and holding a blue ball in its hand."
cramorant-gulping,flying,water,"a blue bird-like creature with a large beak, wearing a green hat."
sharpedo,water,dark,"a blue and white shark-like creature with a large mouth, sharp teeth, and a long tail. It is a fierce-looking creature with a menacing expression."
cramorant,flying,water,"a blue bird-like creature with a long beak, large eyes, and a white head."
avalugg,ice,,"a white, long-legged creature with a shell-like structure, resembling a sea turtle. It has a purple and pink stripe pattern on its body, and it is standing on a blue background."
dragapult,dragon,ghost,"a blue, ghost-like creature with a long, slender body and a long tail. It has a unique appearance, resembling a snake or a lizard."
tapu-koko,electric,fairy,"a yellow and black creature with a long tail, resembling a dragon. It has a unique and fierce appearance, making it stand out among other Pokemon."
azelf,psychic,,"a blue and white creature with a long tail, large eyes, and a horn-like structure on its head."
breloom,grass,fighting,"a small, green creature with a mushroom-like cap on its head, resembling a frog or a mushroom."
deino,dark,dragon,"a small, blue creature with a long, pointy nose and a hood. It has a unique appearance, resembling a combination of a dog and a cat."
magnezone,electric,steel,"a large, blue and red creature with a round head and a large, round body. It has a red and blue eye, and it appears to be wearing a hat."
jynx,ice,psychic,"a purple creature with a long, flowing red dress, a blonde wig, and a large mouth. It has a unique appearance that stands out from the typical Pokemon designs."
malamar,dark,psychic,"a large, purple creature with a long, flowing tail and a long, pointed beak. It has a blue and purple color scheme, giving it a unique and striking appearance."
greedent,normal,,"a large, brown, furry creature with a bushy tail, a white face, and a pair of ears. It is a cartoon-style character, possibly a squirrel or a bear-like creature."
wurmple,bug,,"a red and white creature with a horn-like structure on its head, resembling a horned creature."
oricorio-baile,fire,flying,"a red and black bird-like creature with a long tail, resembling a peacock."
lopunny,normal,,a brown and white rabbit-like creature with a long tail and a fluffy white fur.
flamigo,flying,fighting,"The pink flamingo-like creature in the image is a small, cute, and fluffy pink bird with a long neck and legs. It has a distinct appearance, resembling a combination of a flamingo and a bird of paradise."
mewtwo-mega-x,psychic,fighting,"a white and pink creature with a long tail, resembling a white tiger. It has a unique and striking appearance."
nidoran-m,poison,,"a purple, furry creature with a long tail and sharp teeth. It has a large, expressive eye and a small nose."
duraludon-gmax,steel,dragon,"a large, white, and blue creature with a long tail, resembling a whale. It has a unique appearance, making it stand out among other Pokemon."
heracross,bug,fighting,"a blue and black creature with a long, pointy tail and sharp claws. It has a large body and a small head, giving it a distinct appearance."
yanmega,bug,flying,"a green and red creature with a long tail, resembling a scorpion. It has a distinctive appearance with a large body and a pair of wings, which gives it the appearance of a dragonfly."
roselia,grass,poison,"a small, green, and blue creature with a flower on its head."
jangmo-o,dragon,,"a small, yellow, and white creature with a long tail and a large, pointy horn on its head. It has a scowling expression and is standing on a white background."
monferno,fire,fighting,"a monkey-like creature with a red and blue body, wearing a blue helmet and holding a red fireball in its hand."
klink,steel,,"The two Pokemon in the image are Pikachu, a popular electric-type character from the Pokemon franchise."
toxtricity-amped,electric,poison,"a purple and yellow creature with a long tail, resembling a dragon. It has a large, muscular body and is standing on a white background."
wishiwashi-school,water,,"a blue, large, and fish-like creature with a long tail and a face resembling a shark."
marowak-alola,fire,ghost,"a small, white and black creature with a long tail and a blue flame on its back. It is holding a blue flame in its hand, which is a characteristic feature of the Pokemon."
toucannon,normal,flying,"a colorful bird-like creature with a long neck, a beak, and a rainbow-colored body."
regigigas,normal,,"a large, green, and yellow creature with a distinctive appearance. It has a large body, a long tail, and a pair of large claws. Its eyes are green and yellow, and it has a green and yellow head."
chimecho,psychic,,"a ghost-type creature with a long, white, and blue body, and it has a yellow and white head with a yellow nose."
dugtrio-alola,ground,steel,"a group of three brown creatures, each with blonde hair, resembling a group of women."
mantine,water,flying,"a large, blue and white creature with a long tail, resembling a seagull. It has a smiling face and is holding a fishing rod in its mouth."
pikachu-cosplay,electric,,"a Pikachu, which is a yellow and black mouse-like creature. It has a black hat and is holding a magnifying glass."
weepinbell,grass,poison,"a small, green creature with a large mouth and a horn-like appendage on its head. It appears to be a cute and adorable character, possibly a frog or a frog-like creature."
lokix,bug,dark,"a large, insect-like creature with a black and blue body, a long tail, and a pair of large, sharp claws. It has a black head with a yellow and black face, and it is wearing a black and yellow outfit."
meloetta-aria,normal,psychic,"Pikachu, a yellow and white creature with a long tail and a large, expressive face."
solrock,rock,psychic,"a sun-shaped creature with a brown, yellow, and white color scheme, resembling a sunflower."
torterra,grass,ground,"a green turtle-like creature with a large head, a shell, and a tree branch growing out of its back."
gyarados-mega,water,dark,"a blue and red dragon-like creature with a long tail, which is a part of its design."
grimer,poison,,"a purple, slimy creature with a smiling face and a large mouth. It has a long tongue and is wearing a purple hat."
turtwig,grass,,"a green turtle-like creature with a leaf on its head, resembling a plant."
pumpkaboo-average,ghost,grass,"a large, dark-colored creature with a pumpkin-like face, yellow eyes, and a long, spiky tail. It has a pumpkin-like head and a body resembling a pumpkin."
doduo,normal,flying,"a small, brown creature with two long, sharp claws, resembling a bird or a dinosaur."
darmanitan-standard,fire,,"a large, red, and brown creature with a long tongue and a horn-like head. It has a funny or weird appearance, which makes it stand out among other Pokemon."
